raw_id,raw_group_id,source,year,version,is_censored,curation_status,exclusion_or_link_reason,curated_id
PAMPA:1,GRP-2e6f1259e92caef4,2006_Rezai_1,2006,1.0,False,included,compatible_uncensored_replicate,SSCP-2e6f1259e92caef4
PAMPA:2,GRP-27a5638eb595edb1,2006_Rezai_1,2006,1.0,False,included,compatible_uncensored_replicate,SSCP-27a5638eb595edb1
PAMPA:3,GRP-d0ba4f13b7bf4619,2006_Rezai_1,2006,1.0,False,included,compatible_uncensored_replicate,SSCP-d0ba4f13b7bf4619
PAMPA:4,GRP-ad22216bd6cba9a5,2006_Rezai_1,2006,1.0,False,included,compatible_uncensored_replicate,SSCP-ad22216bd6cba9a5
PAMPA:5,GRP-7dac788d556cd0c0,2006_Rezai_1,2006,1.0,False,included,compatible_uncensored_replicate,SSCP-7dac788d556cd0c0
PAMPA:6,GRP-7c373bcef22888eb,2006_Rezai_1,2006,1.0,False,included,compatible_uncensored_replicate,SSCP-7c373bcef22888eb
PAMPA:7,GRP-c27048dc365e976b,2006_Rezai_1,2006,1.0,False,included,compatible_uncensored_replicate,SSCP-c27048dc365e976b
PAMPA:8,GRP-e7523986bcd9cb09,2006_Rezai_1,2006,1.0,False,included,compatible_uncensored_replicate,SSCP-e7523986bcd9cb09
PAMPA:9,GRP-4cb8c9bfdccb4359,2006_Rezai_1,2006,1.0,True,excluded,irrecoverably_censored_or_missing_label,
PAMPA:10,GRP-447b35ffdde35d90,2006_Rezai_1,2006,1.0,True,excluded,irrecoverably_censored_or_missing_label,
PAMPA:11,GRP-ab5c78e91c8de8fe,2006_Rezai_2,2006,1.0,False,included,compatible_uncensored_replicate,SSCP-ab5c78e91c8de8fe
PAMPA:12,GRP-dca057ebc16a89c2,2006_Rezai_2,2006,1.0,False,included,compatible_uncensored_replicate,SSCP-dca057ebc16a89c2
PAMPA:13,GRP-6f1b9793bd32f2fa,2006_Rezai_2,2006,1.0,False,included,compatible_uncensored_replicate,SSCP-6f1b9793bd32f2fa
PAMPA:14,GRP-b4907e4c2a8b46c3,2006_Rezai_2,2006,1.0,False,included,compatible_uncensored_replicate,SSCP-b4907e4c2a8b46c3
PAMPA:15,GRP-2a2edf2876b5cef1,2006_Rezai_2,2006,1.0,False,included,compatible_uncensored_replicate,SSCP-2a2edf2876b5cef1
PAMPA:16,GRP-8e33023e4b7213ec,2006_Rezai_2,2006,1.0,False,included,compatible_uncensored_replicate,SSCP-8e33023e4b7213ec
PAMPA:17,GRP-9c3b59749b75d1cc,2006_Rezai_2,2006,1.0,False,included,compatible_uncensored_replicate,SSCP-9c3b59749b75d1cc
PAMPA:18,GRP-472c3c0bea47f703,2006_Rezai_2,2006,1.0,False,included,compatible_uncensored_replicate,SSCP-472c3c0bea47f703
PAMPA:19,GRP-2d3d09d36d7716e6,2006_Rezai_2,2006,1.0,False,included,compatible_uncensored_replicate,SSCP-2d3d09d36d7716e6
PAMPA:20,GRP-7b0820a8f4c384a9,2006_Rezai_2,2006,1.0,False,included,compatible_uncensored_replicate,SSCP-7b0820a8f4c384a9
PAMPA:21,GRP-935c3a30cb943a7e,2006_Rezai_2,2006,1.0,False,included,compatible_uncensored_replicate,SSCP-935c3a30cb943a7e
PAMPA:48,GRP-57a5f2072811bf6f,2013_CHUGAI,2013,1.0,False,included,compatible_uncensored_replicate,SSCP-57a5f2072811bf6f
PAMPA:49,GRP-b352931bc178dd14,2013_CHUGAI,2013,1.0,False,included,compatible_uncensored_replicate,SSCP-b352931bc178dd14
PAMPA:50,GRP-5ff27ad46baf27ca,2013_CHUGAI,2013,1.0,False,included,compatible_uncensored_replicate,SSCP-5ff27ad46baf27ca
PAMPA:51,GRP-c41e6531ee088f4c,2013_CHUGAI,2013,1.0,False,included,compatible_uncensored_replicate,SSCP-c41e6531ee088f4c
PAMPA:52,GRP-30a3f8e976a8963b,2013_CHUGAI,2013,1.0,False,included,compatible_uncensored_replicate,SSCP-30a3f8e976a8963b
PAMPA:53,GRP-d206997ca04705e2,2013_CHUGAI,2013,1.0,False,included,compatible_uncensored_replicate,SSCP-d206997ca04705e2
PAMPA:54,GRP-8e606ced5cbaa26b,2013_CHUGAI,2013,1.0,False,included,compatible_uncensored_replicate,SSCP-8e606ced5cbaa26b
PAMPA:55,GRP-ed47cedb59358bbb,2013_CHUGAI,2013,1.0,False,included,compatible_uncensored_replicate,SSCP-ed47cedb59358bbb
PAMPA:56,GRP-28d18de427e5f4a9,2013_CHUGAI,2013,1.0,False,included,compatible_uncensored_replicate,SSCP-28d18de427e5f4a9
PAMPA:57,GRP-4f1202d106592234,2013_CHUGAI,2013,1.0,False,included,compatible_uncensored_replicate,SSCP-4f1202d106592234
